date,value
2022-09-21,6084
2022-09-22,2086
2022-09-23,94
2022-09-24,11368
2022-09-25,15824
2022-09-26,9414
2022-09-27,20171
2022-09-28,17046
2022-09-29,19224
2022-09-30,24550
2022-10-01,20779
2022-10-02,9126
2022-10-03,12192
2022-10-04,8800
2022-10-05,15376
2022-10-06,20084
2022-10-07,26588
2022-10-08,6685
2022-10-09,4779
2022-10-10,9496
2022-10-11,10126
2022-10-12,12674
2022-10-13,6430
2022-10-14,5482
2022-10-15,7358
2022-10-16,9991
2022-10-17,7986
2022-10-18,17755
2022-10-19,7297
2022-10-20,8217
2022-10-21,14341
2022-10-22,3772
2022-10-23,2738
2022-10-24,18284
2022-10-25,18810
2022-10-26,18784
2022-10-27,9888
2022-10-28,12472
2022-10-29,79
2022-10-30,1898
2022-10-31,3249
2022-11-01,2122
2022-11-02,5237
2022-11-03,2375
2022-11-04,10833
2022-11-05,2105
2022-11-06,9209
2022-11-07,8974
2022-11-08,13303
2022-11-09,11471
2022-11-10,13015
2022-11-11,13910
2022-11-12,11552
2022-11-13,13216
2022-11-14,6104
2022-11-15,8856
2022-11-16,7276
2022-11-17,12891
2022-11-18,9793
2022-11-19,12142
2022-11-20,18365
2022-11-21,10214
2022-11-22,12369
2022-11-23,9084
2022-11-24,10908
2022-11-25,7963
2022-11-26,3477
